Cantidad,t_HC_ID,t_HC_SN,t_HA_ID,t_HA_SN,t_BST_ID,t_BTS_SN,s_HC_ID,s_HC_SN,s_HA_ID,s_HA_SN,s_BST_ID,s_BTS_SN
30000,1441,1091,1732,1649,4736,6169,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,70,53,55,65,9461429,26672,26672,40008,40008,24000,24000
5000,220,183,245,172,398,569,60762322,133344,133344,200016,200016,120000,120000
10000,451,372,488,347,1042,1235,115794020,266672,266672,400008,400008,240000,240000
15000,691,538,1007,869,1636,1939,171133622,400016,400016,600024,600024,360000,360000
20000,1105,795,1051,822,2449,2850,225267886,533344,533344,800016,800016,480000,480000
30000,1358,1107,1783,1717,4662,5602,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,73,56,55,65,9461429,26672,26672,40008,40008,24000,24000
5000,220,195,263,180,411,487,60762322,133344,133344,200016,200016,120000,120000
10000,450,372,486,356,1000,1222,115794020,266672,266672,400008,400008,240000,240000
15000,699,549,736,517,1697,2010,171133622,400016,400016,600024,600024,360000,360000
20000,869,754,1056,747,2373,2909,225267886,533344,533344,800016,800016,480000,480000
30000,1339,1104,1755,1737,4857,5607,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,73,57,54,78,9461429,26672,26672,40008,40008,24000,24000
5000,236,181,246,173,401,481,60762322,133344,133344,200016,200016,120000,120000
10000,434,370,502,347,1045,1171,115794020,266672,266672,400008,400008,240000,240000
15000,678,539,745,522,1774,2002,171133622,400016,400016,600024,600024,360000,360000
20000,885,742,1024,706,2448,2933,225267886,533344,533344,800016,800016,480000,480000
30000,1351,1138,1686,2173,4676,5418,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,34,76,56,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,220,183,246,177,493,485,60762322,133344,133344,200016,200016,120000,120000
10000,452,372,499,357,995,1170,115794020,266672,266672,400008,400008,240000,240000
15000,680,535,748,543,1687,1973,171133622,400016,400016,600024,600024,360000,360000
20000,912,741,1007,726,2398,2775,225267886,533344,533344,800016,800016,480000,480000
30000,1323,1119,1776,1695,4841,5689,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,75,52,54,82,9461429,26672,26672,40008,40008,24000,24000
5000,221,203,245,185,399,480,60762322,133344,133344,200016,200016,120000,120000
10000,434,386,484,354,1002,1189,115794020,266672,266672,400008,400008,240000,240000
15000,663,580,734,615,1653,1941,171133622,400016,400016,600024,600024,360000,360000
20000,887,733,1048,724,2396,2864,225267886,533344,533344,800016,800016,480000,480000
30000,1348,1152,1721,1701,4996,5670,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,35,74,60,67,66,9461429,26672,26672,40008,40008,24000,24000
5000,222,181,261,173,410,480,60762322,133344,133344,200016,200016,120000,120000
10000,434,372,506,345,1021,1274,115794020,266672,266672,400008,400008,240000,240000
15000,663,539,750,515,1698,1931,171133622,400016,400016,600024,600024,360000,360000
20000,880,738,1006,726,2444,2853,225267886,533344,533344,800016,800016,480000,480000
30000,1363,1091,1760,1781,5021,5868,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,51,72,51,223,105,9461429,26672,26672,40008,40008,24000,24000
5000,253,183,259,173,466,482,60762322,133344,133344,200016,200016,120000,120000
10000,457,374,505,345,985,1271,115794020,266672,266672,400008,400008,240000,240000
15000,690,539,756,517,1686,1998,171133622,400016,400016,600024,600024,360000,360000
20000,887,730,996,712,2452,2833,225267886,533344,533344,800016,800016,480000,480000
30000,1374,1099,1813,1682,4595,6791,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,51,72,55,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,243,196,245,175,407,487,60762322,133344,133344,200016,200016,120000,120000
10000,459,371,557,344,983,1162,115794020,266672,266672,400008,400008,240000,240000
15000,660,552,752,525,1639,1938,171133622,400016,400016,600024,600024,360000,360000
20000,927,733,1073,698,2405,2923,225267886,533344,533344,800016,800016,480000,480000
30000,1342,1102,1730,1722,4727,5709,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,41,82,52,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,228,189,259,175,404,486,60762322,133344,133344,200016,200016,120000,120000
10000,544,372,496,345,981,1171,115794020,266672,266672,400008,400008,240000,240000
15000,677,539,786,531,1662,1916,171133622,400016,400016,600024,600024,360000,360000
20000,886,734,998,726,2436,2863,225267886,533344,533344,800016,800016,480000,480000
30000,1365,1105,1873,1650,4772,5673,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,34,75,53,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,238,181,246,172,406,518,60762322,133344,133344,200016,200016,120000,120000
10000,447,386,485,343,1022,1177,115794020,266672,266672,400008,400008,240000,240000
15000,664,561,738,516,1646,2029,171133622,400016,400016,600024,600024,360000,360000
20000,963,731,990,699,2447,2956,225267886,533344,533344,800016,800016,480000,480000
30000,1453,1104,1768,1763,4842,5862,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,71,50,55,65,9461429,26672,26672,40008,40008,24000,24000
5000,221,183,246,174,419,485,60762322,133344,133344,200016,200016,120000,120000
10000,437,386,487,373,994,1173,115794020,266672,266672,400008,400008,240000,240000
15000,664,550,733,540,1698,1979,171133622,400016,400016,600024,600024,360000,360000
20000,883,742,1021,711,2406,2848,225267886,533344,533344,800016,800016,480000,480000
30000,1357,1108,1701,1705,4959,5567,337987014,800016,800016,1200024,1200024,720000,720000
1000,46,34,87,55,54,99,9461429,26672,26672,40008,40008,24000,24000
5000,221,204,259,209,404,490,60762322,133344,133344,200016,200016,120000,120000
10000,454,374,504,349,1370,1305,115794020,266672,266672,400008,400008,240000,240000
15000,676,539,733,539,1677,1958,171133622,400016,400016,600024,600024,360000,360000
20000,874,746,1033,695,2367,2840,225267886,533344,533344,800016,800016,480000,480000
30000,1360,1100,1754,1667,5157,5336,337987014,800016,800016,1200024,1200024,720000,720000
